Date,FPT,HPG,MBB,MWG,SSI,VNM,VCB,GAS
2023-01-02,76.93439080386001,28.180465914041363,22.355594147976756,43.902341657402324,32.35041251677669,69.69915288784955,85.43602299898662,95.25492122622734
2023-01-03,76.66698903026867,28.698896442853375,21.947650291134206,43.24533118474482,32.87536953733935,68.81054948825104,85.63879248527068,95.5952970888475
2023-01-04,76.00174989791759,28.762800603260782,21.93850867043088,41.95816013193023,33.033673799863905,68.71737962279127,87.04697214066147,94.72198977468469
2023-01-05,76.35247634018353,29.242101636486623,21.605471867386292,41.896861690864554,33.4795554197895,68.72738257018756,89.68682201993784,94.4076149288818
2023-01-06,75.60490285360675,29.908224570763153,21.921441419789197,41.77672723959575,34.34668652261652,69.38302398268152,88.9171350379446,93.82363970736574
2023-01-09,74.81660589319971,29.379141303408428,21.56012095956738,41.93624782738352,33.71104091659583,69.22333472347235,89.13803664880052,92.76559661306551
2023-01-10,72.64559579119324,29.32071669698769,21.651281280189224,41.456207154704316,33.287326218298155,68.33458305592838,88.4249220198614,93.26307532628007
2023-01-11,70.69322500944574,29.38180060857443,21.80891254682674,43.021139656264054,32.81733001539576,69.03552438628842,88.8594603655481,94.43738867021737
2023-01-12,71.42132487300343,28.979654748883036,21.908362215955126,43.11058746489103,32.01662947398833,67.61743198788895,87.19724267425443,93.45508647442647
2023-01-13,71.35698145320285,29.679941808741784,21.978882848231706,44.14082198568892,32.36204975655805,67.84903058958014,88.60470150655546,94.48894205535437
2023-01-16,70.48660798391205,29.115024699901884,21.931809012038418,43.53903292961293,32.45827763742346,67.65824919701448,87.86276745869544,95.98669453507598
2023-01-17,70.27597495310171,29.289035035878086,22.193981026203353,43.11479188577231,31.86979924267425,66.13594284869131,86.14275684020153,96.68545555212637
2023-01-18,72.07858679581703,29.772048975231343,22.263784761922874,43.151791900848785,33.05316053082766,67.44148832197918,86.56953562384756,100.07910427973013
2023-01-19,73.28263658843196,29.635621147629543,22.844905770847483,44.14129720317469,33.8278710526347,68.28913781939058,88.15787595966101,98.74655688650478
2023-01-20,74.19542876841541,29.625221063273017,22.795461699477972,43.62593865091519,34.96774544288148,68.60487516213094,90.63598779304178,99.03206052824174
2023-01-23,74.6682154539229,30.601746250420618,22.581846852034282,44.77004180695337,35.75067000014324,68.01105323979672,92.87827027518621,98.40012094119028
2023-01-24,77.0869211292615,30.346098390024206,23.10243407535851,44.71968531504048,36.677652305912396,67.48508642786798,92.23852321521308,99.48928607452281
2023-01-25,74.93507842238357,32.042428931047716,23.30343902015169,44.62457452279141,36.12976165453975,67.0433700363261,88.89387736746058,96.78638447234756
2023-01-26,76.73293801158553,32.1322341836323,23.421826429165776,45.429530110822114,37.10037649041531,66.49094610079437,89.37831386117095,96.74689033891133
2023-01-27,77.13434010370642,33.42696424727449,23.42643380820784,47.064093403275585,38.981977064891176,65.94443809357686,89.55012258260973,98.16350996270096
2023-01-30,79.31309507860328,34.74862588568839,23.837171642494454,45.9511000694418,39.639429037235324,67.06684566169636,91.86645830590007,97.9986587589783
2023-01-31,78.4730356754227,34.566855787419584,24.396513346403967,46.523465113831264,39.971463304631364,67.21544201098526,90.72888590048653,97.6607417986517
2023-02-01,77.98721785183795,33.83005585865929,23.833238570513327,45.60895727445442,38.85951841480032,67.14573977468979,88.33426150994549,94.59270699268278
2023-02-02,77.95121339955017,33.57549792479418,23.31987026074885,45.68518716200262,37.29369334315537,67.18226738599888,90.33435937186346,97.52625889200043
2023-02-03,79.64124521274216,33.20556716112677,23.588934295852773,47.26545287838006,36.693926158355936,67.39233404135847,91.01389002481827,97.55842446235458
2023-02-06,77.37096774303598,33.414043272746255,23.83247932626782,47.899148694232515,35.66489681833593,66.23638178531287,90.36002202408584,99.5768971944732
2023-02-07,79.34622153547315,33.94788772734634,24.361126568470127,47.49269615588828,36.079419326382094,67.77282409299711,91.0897269150089,101.04565113430397
2023-02-08,79.58449050445475,33.626028992465926,24.31389590559337,47.78582321193089,34.85897137250838,66.76555380024043,91.42625592044263,101.64476009708753
2023-02-09,77.5741912154775,35.50227444056078,24.539719446339067,46.88640624880571,34.57671488221415,65.99278617357959,89.6298758816357,101.79017674522805
2023-02-10,76.27786413443543,34.87281420785452,24.97408354898371,47.52833743636425,33.65407535620439,65.58448743642788,88.97853885586045,104.70929680028773
2023-02-13,79.7192278259554,34.03581455101569,25.624427438646354,48.907731854419055,34.349559641001946,67.56788847935982,88.3235441309212,102.96907104686183
2023-02-14,77.91556886373876,32.3084653021872,24.999431350132767,46.263659272735204,33.384038964860295,66.57083830968857,85.39015542117266,96.76054085850802
2023-02-15,78.52075513799907,31.626713257102892,25.152924605149625,45.43851463098518,33.15851742022494,66.16472638147351,85.98438911638821,97.28019570956245
2023-02-16,78.04677841882453,31.724128048559308,25.11512961836742,45.678424078147636,32.35801622432082,66.10963856016963,84.72484238205985,96.77583020422676
2023-02-17,77.11212593277209,32.88280848593432,25.419175068098713,46.02981309474404,31.03810801934323,66.73776239578544,86.6651930821322,96.69178766680982
2023-02-20,75.22099052746887,32.922720685493026,25.454704989419476,44.22980683955062,31.602718507113867,66.60795065059547,86.7658108173899,96.67562448150177
2023-02-21,75.98289970099087,32.96441070688955,26.23077306554495,44.56955787394712,31.890712179043845,66.97209934051081,87.12432244509745,93.36825861627739
2023-02-22,76.2663847370567,31.97274894264646,26.299990985862166,45.24044120783438,32.252730761555526,66.53347897570934,87.87871396503809,89.62646366348436
2023-02-23,75.81956941119688,32.0687443801344,25.33273452749777,45.29713434287455,33.17424372109361,66.63321103179466,88.09626339660603,89.12812037772711
2023-02-24,74.62163224050013,31.602063069415294,25.100270940388015,43.69228940260637,31.73076066848659,65.05250441051808,88.53383117108659,87.19784564268218
